NAME,median_income,total_population,poverty_count,state,county,poverty_rate
"Autauga County, Alabama",68315.0,58761.0,6630,ALABAMA,AUTAUGA,11.282993822433246
"Baldwin County, Alabama",71039.0,233420.0,23445,ALABAMA,BALDWIN,10.044126467312141
"Barbour County, Alabama",39712.0,24877.0,5280,ALABAMA,BARBOUR,21.224424166901155
"Bibb County, Alabama",50669.0,22251.0,4297,ALABAMA,BIBB,19.311491618354232
"Blount County, Alabama",57440.0,59077.0,8277,ALABAMA,BLOUNT,14.010528632124178
"Bullock County, Alabama",36136.0,10328.0,2687,ALABAMA,BULLOCK,26.016653756777693
"Butler County, Alabama",44429.0,18981.0,3937,ALABAMA,BUTLER,20.741794426004954
"Calhoun County, Alabama",54339.0,116162.0,20267,ALABAMA,CALHOUN,17.447185826690312
"Chambers County, Alabama",48805.0,34612.0,6080,ALABAMA,CHAMBERS,17.56616202473131
"Cherokee County, Alabama",46621.0,25069.0,3516,ALABAMA,CHEROKEE,14.02529019905062
"Chilton County, Alabama",62471.0,45140.0,6422,ALABAMA,CHILTON,14.226849800620291
"Choctaw County, Alabama",43299.0,12669.0,2388,ALABAMA,CHOCTAW,18.84915936538006
"Clarke County, Alabama",47549.0,23058.0,5073,ALABAMA,CLARKE,22.00104085349987
"Clay County, Alabama",48074.0,14209.0,2440,ALABAMA,CLAY,17.172214793440777
"Cleburne County, Alabama",51553.0,15144.0,1931,ALABAMA,CLEBURNE,12.750924458531433
"Coffee County, Alabama",62199.0,53559.0,8592,ALABAMA,COFFEE,16.04212177225116
"Colbert County, Alabama",56149.0,57270.0,8998,ALABAMA,COLBERT,15.71154181945172
"Conecuh County, Alabama",39888.0,11576.0,2122,ALABAMA,CONECUH,18.33102971665515
"Coosa County, Alabama",52279.0,10329.0,1102,ALABAMA,COOSA,10.668990221705876
"Covington County, Alabama",48772.0,37542.0,6921,ALABAMA,COVINGTON,18.43535240530606
"Crenshaw County, Alabama",48557.0,13205.0,1916,ALABAMA,CRENSHAW,14.5096554335479
"Cullman County, Alabama",58119.0,88284.0,11364,ALABAMA,CULLMAN,12.872094603778713
"Dale County, Alabama",52813.0,49455.0,8469,ALABAMA,DALE,17.124658780709737
"Dallas County, Alabama",37180.0,38326.0,10230,ALABAMA,DALLAS,26.692062829410844
"DeKalb County, Alabama",47920.0,71680.0,14251,ALABAMA,DEKALB,19.881417410714285
"Elmore County, Alabama",73258.0,87694.0,7986,ALABAMA,ELMORE,9.106666362578968
"Escambia County, Alabama",41153.0,36755.0,7449,ALABAMA,ESCAMBIA,20.26663039042307
"Etowah County, Alabama",52177.0,103348.0,16146,ALABAMA,ETOWAH,15.622943840229128
"Fayette County, Alabama",45650.0,16297.0,3543,ALABAMA,FAYETTE,21.740197582377125
"Franklin County, Alabama",47359.0,32011.0,5246,ALABAMA,FRANKLIN,16.38811658492393
"Geneva County, Alabama",47608.0,26647.0,5480,ALABAMA,GENEVA,20.56516681052276
"Greene County, Alabama",32796.0,7706.0,2504,ALABAMA,GREENE,32.4941603944978
"Hale County, Alabama",35851.0,14742.0,3613,ALABAMA,HALE,24.508207841541175
"Henry County, Alabama",58395.0,17282.0,2608,ALABAMA,HENRY,15.090845966901977
"Houston County, Alabama",55064.0,107040.0,18878,ALABAMA,HOUSTON,17.6363976083707
"Jackson County, Alabama",46748.0,52618.0,9680,ALABAMA,JACKSON,18.396746360561025
"Jefferson County, Alabama",63595.0,672265.0,103894,ALABAMA,JEFFERSON,15.454322328248532
"Lamar County, Alabama",49565.0,13885.0,2107,ALABAMA,LAMAR,15.174648901692475
"Lauderdale County, Alabama",56081.0,94329.0,12188,ALABAMA,LAUDERDALE,12.920734874746898
"Lawrence County, Alabama",54786.0,33116.0,5182,ALABAMA,LAWRENCE,15.648025123807225
"Lee County, Alabama",59288.0,175126.0,31003,ALABAMA,LEE,17.703253657366698
"Limestone County, Alabama",80146.0,104199.0,11287,ALABAMA,LIMESTONE,10.832157698250464
"Lowndes County, Alabama",33125.0,10153.0,2552,ALABAMA,LOWNDES,25.13542795232936
"Macon County, Alabama",41206.0,19198.0,4127,ALABAMA,MACON,21.49703094072299
"Madison County, Alabama",78058.0,389781.0,40440,ALABAMA,MADISON,10.375056762643638
"Marengo County, Alabama",42975.0,19180.0,4063,ALABAMA,MARENGO,21.18352450469239
"Marion County, Alabama",49743.0,29203.0,4707,ALABAMA,MARION,16.118207033523955
"Marshall County, Alabama",58272.0,97923.0,15992,ALABAMA,MARSHALL,16.33119900329851
"Mobile County, Alabama",55352.0,413878.0,71353,ALABAMA,MOBILE,17.24010457187867
"Monroe County, Alabama",39965.0,19816.0,4472,ALABAMA,MONROE,22.567622123536534
"Montgomery County, Alabama",56707.0,228132.0,42877,ALABAMA,MONTGOMERY,18.794820542492943
"Morgan County, Alabama",61588.0,123102.0,16579,ALABAMA,MORGAN,13.467693457458044
"Perry County, Alabama",32332.0,8479.0,2478,ALABAMA,PERRY,29.22514447458427
